101,1,1,1,null
102,1,1,2,null
103,1,1,3,null
104,1,1,4,null
105,1,1,5,null
106,1,1,6,null
107,1,1,7,null
108,1,1,8,null
109,1,1,9,null
110,1,1,10,null
201,2,1,1,null
202,2,1,2,null
203,2,1,3,null
204,2,1,4,null
205,2,1,5,null
206,2,1,6,null
207,2,1,7,null
208,2,1,8,null
209,2,1,9,null
210,2,1,10,null
301,3,1,1,null
302,3,1,2,null
303,3,1,3,null
304,3,1,4,null
305,3,1,5,null
306,3,1,6,null
307,3,1,7,null
308,3,1,8,null
309,3,1,9,null
310,3,1,10,null
401,4,1,1,null
402,4,1,2,null
403,4,1,3,null
404,4,1,4,null
405,4,1,5,null
406,4,1,6,null
407,4,1,7,null
408,4,1,8,null
409,4,1,9,null
410,4,1,10,null
501,5,1,1,null
502,5,1,2,null
503,5,1,3,null
504,5,1,4,null
505,5,1,5,null
506,5,1,6,null
507,5,1,7,null
508,5,1,8,null
509,5,1,9,null
510,5,1,10,null
